label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
stop,0.63,0.76,0.55,0.72,0.49,0.64,0.46,0.56,0.43,0.51,0.54,0.50,0.53,0.39,0.52,0.32,0.52,0.27,0.59,0.48,0.59,0.36,0.58,0.28,0.58,0.22,0.64,0.49,0.64,0.37,0.65,0.30,0.64,0.24,0.68,0.52,0.70,0.44,0.70,0.38,0.71,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.63,0.76,0.55,0.73,0.49,0.64,0.46,0.56,0.42,0.51,0.54,0.50,0.52,0.39,0.52,0.33,0.52,0.27,0.59,0.48,0.58,0.36,0.58,0.28,0.58,0.22,0.64,0.49,0.64,0.37,0.64,0.30,0.64,0.25,0.68,0.52,0.70,0.44,0.70,0.38,0.71,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.62,0.76,0.54,0.73,0.48,0.64,0.45,0.56,0.42,0.51,0.54,0.50,0.52,0.40,0.51,0.33,0.51,0.27,0.59,0.48,0.58,0.36,0.58,0.29,0.58,0.22,0.63,0.49,0.64,0.38,0.64,0.31,0.64,0.25,0.68,0.52,0.69,0.44,0.70,0.39,0.70,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.62,0.76,0.54,0.73,0.48,0.65,0.45,0.57,0.41,0.51,0.53,0.51,0.51,0.40,0.51,0.33,0.51,0.27,0.58,0.49,0.57,0.36,0.57,0.29,0.57,0.22,0.63,0.49,0.63,0.38,0.63,0.31,0.64,0.25,0.67,0.52,0.69,0.44,0.69,0.39,0.70,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.59,0.77,0.51,0.74,0.45,0.66,0.42,0.58,0.38,0.53,0.50,0.52,0.48,0.41,0.48,0.35,0.48,0.29,0.55,0.50,0.54,0.37,0.54,0.30,0.54,0.23,0.60,0.51,0.60,0.39,0.61,0.32,0.61,0.25,0.64,0.54,0.66,0.45,0.67,0.40,0.67,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.58,0.78,0.50,0.74,0.44,0.66,0.41,0.58,0.38,0.52,0.50,0.52,0.48,0.41,0.47,0.35,0.47,0.29,0.55,0.50,0.54,0.38,0.54,0.30,0.53,0.24,0.59,0.51,0.60,0.39,0.60,0.32,0.60,0.26,0.63,0.54,0.65,0.46,0.66,0.40,0.66,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.57,0.78,0.48,0.75,0.43,0.67,0.40,0.58,0.36,0.53,0.49,0.52,0.47,0.42,0.46,0.35,0.46,0.29,0.54,0.51,0.53,0.38,0.53,0.30,0.53,0.24,0.58,0.51,0.59,0.40,0.59,0.33,0.59,0.26,0.62,0.54,0.64,0.46,0.65,0.40,0.65,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.55,0.78,0.47,0.75,0.42,0.67,0.39,0.59,0.35,0.54,0.47,0.53,0.46,0.42,0.45,0.35,0.45,0.30,0.52,0.51,0.52,0.38,0.51,0.30,0.51,0.24,0.57,0.51,0.58,0.40,0.58,0.33,0.58,0.26,0.61,0.54,0.63,0.46,0.64,0.41,0.64,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.50,0.80,0.42,0.77,0.37,0.70,0.34,0.62,0.30,0.56,0.42,0.55,0.40,0.44,0.39,0.37,0.39,0.31,0.47,0.53,0.46,0.40,0.45,0.32,0.45,0.26,0.51,0.53,0.52,0.42,0.52,0.34,0.52,0.28,0.56,0.56,0.57,0.48,0.58,0.42,0.58,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.49,0.80,0.41,0.78,0.35,0.70,0.32,0.62,0.29,0.57,0.41,0.55,0.39,0.44,0.38,0.38,0.38,0.32,0.45,0.53,0.45,0.41,0.44,0.33,0.44,0.26,0.50,0.53,0.51,0.42,0.51,0.35,0.51,0.28,0.54,0.56,0.56,0.48,0.57,0.43,0.57,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.48,0.80,0.40,0.78,0.34,0.70,0.31,0.62,0.28,0.57,0.39,0.55,0.38,0.45,0.37,0.38,0.36,0.33,0.44,0.53,0.43,0.41,0.43,0.33,0.43,0.27,0.49,0.54,0.49,0.42,0.50,0.35,0.50,0.29,0.53,0.56,0.55,0.48,0.55,0.43,0.56,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.47,0.80,0.39,0.78,0.33,0.70,0.30,0.62,0.27,0.57,0.38,0.55,0.36,0.45,0.35,0.39,0.35,0.33,0.43,0.53,0.42,0.41,0.42,0.33,0.41,0.27,0.48,0.54,0.48,0.42,0.48,0.35,0.48,0.29,0.52,0.56,0.53,0.48,0.54,0.43,0.54,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.42,0.82,0.34,0.79,0.29,0.72,0.26,0.65,0.22,0.60,0.33,0.57,0.31,0.47,0.30,0.40,0.30,0.35,0.38,0.55,0.37,0.43,0.36,0.36,0.36,0.29,0.42,0.56,0.43,0.44,0.43,0.37,0.43,0.31,0.47,0.58,0.48,0.50,0.49,0.45,0.49,0.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.41,0.82,0.33,0.80,0.27,0.72,0.25,0.65,0.21,0.60,0.32,0.58,0.30,0.48,0.29,0.42,0.28,0.36,0.36,0.55,0.35,0.44,0.35,0.36,0.34,0.30,0.41,0.56,0.41,0.45,0.41,0.38,0.41,0.32,0.45,0.58,0.47,0.51,0.47,0.45,0.48,0.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.40,0.82,0.32,0.80,0.26,0.73,0.23,0.65,0.20,0.61,0.31,0.58,0.28,0.48,0.27,0.42,0.27,0.37,0.35,0.56,0.34,0.44,0.33,0.37,0.33,0.30,0.40,0.56,0.40,0.45,0.40,0.38,0.40,0.32,0.44,0.59,0.45,0.51,0.46,0.46,0.46,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.35,0.83,0.28,0.81,0.22,0.74,0.20,0.67,0.17,0.62,0.26,0.59,0.24,0.50,0.23,0.43,0.22,0.38,0.31,0.57,0.30,0.46,0.29,0.38,0.29,0.32,0.35,0.58,0.35,0.47,0.35,0.40,0.35,0.34,0.39,0.60,0.41,0.53,0.41,0.47,0.41,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.34,0.84,0.27,0.81,0.21,0.74,0.19,0.67,0.15,0.63,0.25,0.60,0.23,0.50,0.22,0.44,0.21,0.39,0.30,0.58,0.29,0.46,0.28,0.39,0.27,0.33,0.34,0.58,0.34,0.47,0.34,0.40,0.34,0.34,0.38,0.61,0.39,0.53,0.40,0.47,0.40,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.33,0.84,0.25,0.82,0.20,0.74,0.18,0.67,0.15,0.63,0.25,0.60,0.22,0.51,0.21,0.45,0.20,0.39,0.29,0.58,0.28,0.47,0.27,0.39,0.26,0.33,0.33,0.59,0.33,0.48,0.33,0.41,0.33,0.35,0.37,0.61,0.38,0.53,0.39,0.48,0.39,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.32,0.84,0.25,0.82,0.19,0.75,0.17,0.68,0.14,0.63,0.23,0.61,0.21,0.51,0.20,0.45,0.20,0.40,0.28,0.59,0.27,0.47,0.26,0.40,0.25,0.33,0.32,0.59,0.32,0.48,0.32,0.41,0.32,0.35,0.36,0.61,0.37,0.53,0.38,0.48,0.38,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.29,0.86,0.22,0.84,0.16,0.77,0.14,0.70,0.11,0.65,0.20,0.62,0.18,0.53,0.17,0.47,0.16,0.41,0.25,0.60,0.23,0.49,0.22,0.42,0.22,0.36,0.29,0.61,0.29,0.50,0.29,0.43,0.29,0.37,0.33,0.63,0.34,0.55,0.34,0.50,0.34,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.28,0.86,0.21,0.84,0.15,0.77,0.13,0.70,0.10,0.65,0.19,0.63,0.17,0.53,0.16,0.47,0.15,0.42,0.24,0.61,0.22,0.49,0.21,0.42,0.21,0.36,0.28,0.61,0.28,0.50,0.28,0.43,0.28,0.37,0.32,0.63,0.33,0.56,0.34,0.50,0.34,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.27,0.86,0.20,0.84,0.15,0.77,0.12,0.70,0.09,0.66,0.19,0.63,0.16,0.54,0.15,0.48,0.14,0.43,0.23,0.61,0.22,0.50,0.21,0.42,0.20,0.36,0.27,0.61,0.27,0.51,0.27,0.44,0.27,0.38,0.31,0.64,0.32,0.56,0.33,0.51,0.33,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.25,0.87,0.18,0.86,0.13,0.79,0.10,0.72,0.07,0.68,0.16,0.65,0.14,0.55,0.13,0.49,0.12,0.44,0.21,0.62,0.19,0.51,0.18,0.44,0.18,0.38,0.25,0.63,0.25,0.52,0.25,0.45,0.24,0.39,0.29,0.65,0.30,0.57,0.30,0.52,0.30,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.25,0.87,0.17,0.86,0.12,0.78,0.10,0.71,0.07,0.67,0.16,0.65,0.13,0.55,0.12,0.49,0.11,0.44,0.20,0.62,0.19,0.51,0.18,0.44,0.17,0.38,0.24,0.63,0.24,0.52,0.24,0.45,0.24,0.39,0.28,0.65,0.29,0.57,0.29,0.52,0.29,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.24,0.87,0.17,0.85,0.12,0.78,0.10,0.71,0.07,0.67,0.15,0.65,0.13,0.55,0.12,0.49,0.11,0.44,0.20,0.62,0.18,0.51,0.17,0.44,0.17,0.38,0.24,0.63,0.24,0.52,0.24,0.45,0.23,0.39,0.28,0.65,0.29,0.57,0.29,0.52,0.29,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.24,0.88,0.16,0.86,0.11,0.78,0.09,0.71,0.06,0.67,0.15,0.64,0.13,0.55,0.12,0.49,0.11,0.44,0.20,0.63,0.18,0.51,0.17,0.44,0.16,0.38,0.24,0.63,0.24,0.52,0.24,0.45,0.23,0.40,0.27,0.65,0.29,0.58,0.29,0.52,0.29,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.22,0.89,0.14,0.88,0.09,0.81,0.07,0.74,0.04,0.70,0.13,0.67,0.10,0.57,0.09,0.51,0.08,0.46,0.17,0.65,0.16,0.53,0.15,0.46,0.14,0.40,0.21,0.65,0.21,0.54,0.21,0.48,0.20,0.42,0.25,0.67,0.26,0.60,0.26,0.54,0.26,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.22,0.89,0.15,0.87,0.09,0.81,0.07,0.74,0.04,0.70,0.13,0.67,0.10,0.58,0.08,0.52,0.08,0.47,0.17,0.64,0.15,0.53,0.14,0.46,0.13,0.40,0.21,0.65,0.20,0.54,0.20,0.47,0.20,0.41,0.25,0.67,0.25,0.59,0.26,0.54,0.25,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.23,0.85,0.15,0.83,0.10,0.77,0.08,0.70,0.05,0.67,0.14,0.63,0.11,0.54,0.10,0.49,0.09,0.44,0.18,0.61,0.16,0.50,0.15,0.43,0.14,0.38,0.21,0.61,0.21,0.51,0.21,0.44,0.20,0.39,0.25,0.63,0.26,0.55,0.27,0.50,0.27,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
